2024-01-22,263849.66815800,264820.42223000,257990.78075000,260846.12928700,116991.97880000,116991.97880000
2024-01-21,265456.13728600,266547.16177400,263320.26355900,263848.59431500,122572.16870000,122572.16870000
2024-01-20,267600.60175700,267601.67560000,263542.54906000,265455.06344300,136620.95770000,136620.95770000
2024-01-19,265326.20228300,268911.76406000,259354.56136000,267601.67560000,424209.00290000,424209.00290000
2024-01-18,271703.75586000,273829.96500000,260789.21560800,265326.20228300,452090.10740000,452090.10740000
2024-01-17,277847.21166300,278444.26837100,269185.59402500,271702.68201700,366281.34770000,366281.34770000
2024-01-16,269726.81089700,280748.73544900,268466.11921500,277846.13782000,381077.62470000,381077.62470000
2024-01-15,265547.41394100,274240.17302600,265338.01455600,269725.73705400,315247.88190000,315247.88190000
2024-01-14,276856.05457400,276910.82056700,265239.22100000,265547.41394100,306207.74630000,306207.74630000
2024-01-13,270882.26596500,278125.33700000,268192.28925000,276857.12841700,422061.23200000,422061.23200000
2024-01-12,281133.17124300,291797.50607600,263950.60940000,270881.19212200,887457.76270000,887457.76270000
2024-01-11,277520.76339100,288798.26257700,275549.18764300,281133.17124300,838712.25770000,838712.25770000
2024-01-10,251741.01449000,283827.44333000,251235.23443700,277521.83723400,1038388.66600000,1038388.66600000
2024-01-09,250251.59424900,254685.49199600,239121.21155400,251739.94064700,551454.99310000,551454.99310000
2024-01-08,238545.63170600,253233.65626000,232635.19983400,250252.66809200,539407.55470000,539407.55470000
2024-01-07,240623.51791100,242474.82324300,236617.00967800,238545.63170600,207138.69270000,207138.69270000
2024-01-06,243631.35215400,243762.36100000,238006.56252000,240624.59175400,194067.86560000,194067.86560000
2024-01-05,243452.02037300,244536.60180300,236908.02113100,243631.35215400,405568.00060000,405568.00060000
2024-01-04,237289.23539600,246413.67936700,236450.56401300,243452.02037300,448844.05500000,448844.05500000
2024-01-03,252927.61100500,256159.87843500,225507.03000000,237289.23539600,798729.48690000,798729.48690000
2024-01-02,252573.24281500,261083.44859000,251386.64630000,252926.53716200,458041.66420000,458041.66420000
2024-01-01,245037.01264100,252607.60579100,243251.21173200,252572.16897200,216702.69140000,216702.69140000
2023-12-31,246090.45262400,249275.47096200,242568.24758400,245037.01264100,222175.87790000,222175.87790000
2023-12-30,246897.98256000,249436.54741200,243547.59240000,246090.45262400,210539.13270000,210539.13270000
2023-12-29,251724.90684500,256155.58306300,242188.10716200,246897.98256000,450201.20690000,450201.20690000
2023-12-28,255397.44990500,262640.52094000,250742.34050000,251724.90684500,580459.98200000,580459.98200000
2023-12-27,239561.48718400,256910.49469200,237521.18548400,255397.44990500,541537.35740000,541537.35740000
2023-12-26,243908.40364800,244298.20865700,233931.32833500,239561.48718400,410413.15910000,410413.15910000
2023-12-25,243122.35057200,247499.33464000,241947.56633000,243907.32980500,286277.16160000,286277.16160000
2023-12-24,247864.44126000,249796.28481700,241077.75350000,243123.42441500,307951.07600000,307951.07600000
2023-12-23,249619.10072200,250275.21879500,243225.43950000,247864.44126000,255626.93520000,255626.93520000
2023-12-22,240497.87828000,251617.52254500,239530.34573700,249619.10072200,591357.48800000,591357.48800000
2023-12-21,236478.48393100,244762.10883300,234417.77921400,240498.95212300,453069.72520000,453069.72520000
2023-12-20,233872.26697000,243332.82380000,231520.55080000,236478.48393100,416841.62720000,416841.62720000
2023-12-19,238333.01079200,242151.59650000,229324.54186500,233873.34081300,383551.40490000,383551.40490000
2023-12-18,235872.83647900,238822.68320000,227289.60938000,238331.93694900,364103.11810000,364103.11810000
2023-12-17,239355.30932800,241472.92772400,235332.69345000,235871.76263600,225925.76750000,225925.76750000
2023-12-16,238447.91199300,243053.62462000,237319.30300000,239355.30932800,199285.92300000,199285.92300000
2023-12-15,248629.01747600,248896.40438300,236245.46000000,238446.83815000,333552.63280000,333552.63280000
2023-12-14,242705.69948800,250431.99987300,239273.69726000,248629.01747600,409508.09310000,409508.09310000
2023-12-13,236618.08352100,245267.88888600,230266.30217600,242705.69948800,418916.61540000,418916.61540000
2023-12-12,238941.87977300,240983.25531600,232594.39380000,236617.00967800,361588.90870000,361588.90870000
2023-12-11,252609.75347700,252890.02650000,231587.12906600,238942.95361600,640414.91660000,640414.91660000
2023-12-10,251330.80646400,255302.95172100,249131.57600000,252609.75347700,200037.21020000,200037.21020000
2023-12-09,253288.42225300,258044.47290000,249991.72424300,251331.88030700,287771.06640000,287771.06640000
2023-12-08,252969.49088200,256863.24560000,250886.23546200,253289.49609600,378569.81260000,378569.81260000
2023-12-07,239756.92661000,255875.31004000,238607.91460000,252968.41703900,485190.06090000,485190.06090000
2023-12-06,246267.63671900,248297.19998900,238393.14600000,239756.92661000,408338.90560000,408338.90560000
2023-12-05,240901.64324800,248027.66539600,234992.28521900,246267.63671900,529829.72140000,529829.72140000
2023-12-04,235489.47452800,244221.96580400,235279.00130000,240902.71709100,565307.71340000,565307.71340000
2023-12-03,232460.16342500,238099.98686100,230768.86070000,235488.40068500,257879.11360000,257879.11360000
2023-12-02,224136.80633200,234806.51038000,224030.49587500,232459.08958200,320979.97680000,320979.97680000
2023-12-01,220347.21438500,226674.29734100,219605.18887200,224136.80633200,372645.58600000,372645.58600000
2023-11-30,217861.26784000,220647.89042500,217007.56265500,220348.28822800,243680.09210000,243680.09210000
2023-11-29,219938.08020200,222897.59151000,216842.19083300,217862.34168300,254843.73190000,254843.73190000
2023-11-28,217721.66825000,222822.42250000,214247.78614500,219938.08020200,283775.92790000,283775.92790000
2023-11-27,221462.93726200,222418.65753200,213241.59525400,217721.66825000,326073.22980000,326073.22980000
